AIRCC Publishing Corporation,"Advances in Science, Technology and Engineering Systems Journal (ASTESJ, ASTES Journal)"
Aizeon Publishers,Advances in Sexual Medicine
Akademia Baru Publishing (previously Penerbit Akademia Baru),Advances in Tribology
Akademik Plus Publication,Advances in Urology
Albert Science International Organization,Advances in Virology
Allied Academies,Aegaeum (hijacker of a legitimate journal)
Allied Journals,Aerospace
Ambit Journals,Aerospace Research Communications
AME Publishing Company (new website here),Afrasian Journal of Humanities and Social Sciences (AAJHSS)
American Academic & Scholarly Research Center (AASRC),"African Journal of Traditional, Complementary and Alternative Medicines (AJTCAM)"
American Association for Science and Technology (AASCIT),Aging
American Journal,Agricultural Sciences
American Research Institute for Policy Development,Agriculture
American Research Journals,AgriEngineering
American Research Publications,Agrochemicals
American Scholarly Research Association,Agrociencia (hijacker of the legitimate journal Agrociencia)
American Scientific Publishers,Agronomy
American Scientific Research Journals,AGU International Journal of Engineering & Technology (AGUIJET)
American Society of Registered Nurses,AGU International Journal of Professional Studies & Research (AGUIJPSR)
American Society of Science and Engineering,AGU International Journal of Research in Social Science & Humanities (AGUIJRSSH)
American V-King Scientific Publishing,Ahead International Journal of Recent Research Review (AIJRRR)
"Amoghsiddhi Education Society (AES) (AES Journals in Engineering Technology, Management, and Sciences - AES E-JOURNALS) (also here)",AI
AMS Central,AIDS Research and Treatment
Andrew John Publishing Inc.,Air
Annex Publishers,Al Ameen Journal of Medical Sciences (AJMS)
ansinet (Asian Network for Scientific Information),Algorithms
Ant Journals (Antjournals) (related to Nobel International Journals),Allergies
Antarctic Journals,Alloys
Aperito Online Publishing,Aloy Journal of Soft Computing and Applications (AJSCA)
Apex Journal,American Based Research Journal (ABRJ)
Applied Science Innovations,American International Journal of Contemporary Research (AIJCR)
APST Publication,American International Journal of Contemporary Scientific Research
Arabian Group of Journals (AGJ),American International Journal of Social Science (AIJSS)
Aradhya International Publication,American Journal of Advanced Agricultural Research (AJAAR)
ARC Journals,American Journal of Advanced Drug Delivery
Archers & Elevators Publishing House,American Journal of Advanced Scientific Research (AJASR)
Archyworld,American Journal of Advances in Medical Science (ARNACA)
Arena Of Sciences,American Journal of Analytical Chemistry
ARPN Journals,American Journal of Biomedical Science & Research
AS Publishers,American Journal of Biotechnology and Medical Research
Asclepius Open,American Journal of Climate Change
ASD Publisher,American Journal of Computational Mathematics
Ashdin Publishing,American Journal of Engineering Research
AshEse Visionary,American Journal of Essential Oils and Natural Products (Essential Oil International Journal)
Asia Pacific Institute of Advanced Research,American Journal of Humanities and Social Sciences Research (AJHSSR)
Asia-Pacific Association of Medical Research,American Journal of Industrial and Business Management
Asian Academic Research Associates,American Journal of Innovative Research and Applied Sciences (AJIRAS)
Asian and American Research Publishing Group,American Journal of Molecular Biology
Asian Economic and Social Society (AESS),American Journal of Multidisciplinary Research and Development (AJMRD)
Asian Intellect,American Journal of Operations Research
Asian Online Journal Publishing Group,American Journal of Pharmacy and Health Research (AJPHR)
Asian Online Journals,American Journal of PharmTech Research (AJPTR)
Asian Pharma Press,American Journal of Phytomedicine and Clinical Therapeutics
Asian Publication Corporation (Asian Pub. Corp.),American Journal of Plant Sciences
Asian Research Consortium,American Journal of Research Communication (AJRC)
Asian Transactions,American Journal of Scientific Research
Associated Asia Research Foundation (AARF),American Journal of Social issues and Humanities
"Association for Sustainable Education, Research and Science (ASERS Publishing) (new website here)",American Research Thoughts
Association of Computer Electronics and Electrical Engineers (ACEEE),"American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS)"
Association of North America Higher Education International (ANAHEI),American Transactions on Engineering & Applied Sciences
Aster Publications,Amphibian & Reptile Conservation
AstonJournals,"An International Journal of Advanced Computer Technology (COMPUSOFT, IJACT)"
Athal Press & Media,Analytica
Atharva Scientific Publications,Analytical Cellular Pathology
Athens Institute for Education and Research (ATINER),Analytics
"Atlas Publishing, LP",Anatomia
"Auctores Publishing, LLC",Andrologia
Aufau Periodicals (AP),Anemia
Austin Publishing Group,Anesthesiology Research and Practice
Australasian Centre for Research and Development (ACRD),"Anglisticum: International Journal of Literature, Linguistics & Interdisciplinary Studies"
Australian Academy of Business and Social Sciences,Animals
Australian Academy of Business Leadership,Annals of British Medical Sciences (ABMS)
Australian International Academic Centre Pty. Ltd.,Annals of Clinical and Medical Case Reports (also here)
Australian International Research Consortium (Australian International Journals),Annals of Clinical Case Reports
Australian Society for Commerce Industry & Engineering (SCIE),Annals of Dental Specialty
Austrian E-Journals of Universal Scientific Organization,Annals of International Medical and Dental Research (AIMDR)
Austrian Scientific Publication House,Annals of Medical and Biomedical Sciences (AMBS)
Avanti Publishers.com,Annals of Phytomedicine
Avens Publishing Group,Antibiotics
Avestia Publishing,Antibodies
Avicena Publisher,Antioxidants
Avid Science,Applied and Environmental Soil Science
Axis Journals,Applied Bionics and Biomechanics
Baishideng Publishing Group,Applied Biosciences
Basha Research Corporation (BRCORP),Applied Computational Intelligence and Soft Computing
Basic Research Journals,Applied Mathematics
Bell Press,Applied Mechanics
Bentham Open,Applied Microbiology
Best Journals,Applied Nano
Better Advances Press,Applied Research Journal
Betty Jones & Sisters Publishing,Applied Sciences
Bilingual Publishing Co,Applied System Innovation
Binary Information Press,AppliedChem
Bio Accent (Bioaccent),AppliedMath
Bio Core (Biocore),Aquaculture Journal
Bio-Byword Publishing PTY LTD​,Aquaculture Nutrition
Bioflux Society,Aquaculture Research
Biogeneric Publishers,Arabian Journal of Medical Sciences (AJMS)
Biohelikon,Archaea
Biohouse Publishing Group,Archaeological Discovery
BioInfo Publications,Architecture
BioIT international Journals (Bi International Journals),Archives Des Sciences Journal
Biological and Chemical Publishing,Archives of Applied Medicine (related to KEI Journals)
BioMed Press,Archives of Clinical and Experimental Surgery
BioMed Research,ARCTIC Journal (hijacker of a legitimate journal)
"BiomedGrid, LLC",ARNACA American Journal of Advances in Medical Science
"Biomedical Research Network+, LLC",ARPN Journal of Science and Technology
BioMedSciDirect Publications,ARPN Journal of Systems and Software
BioPublisher,Art and Design Review
Bioscience Research & Educational Institute,Arthropoda
Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,Arts
Blaze Journals,"Asia Pacific Journal of Education, Arts and Sciences (APJEAS)"
Blue Apple Publications,Asia Pacific Journal of Multidisciplinary Research
Blue Eyes Intelligence Engineering & Sciences Publication,Asia-Pacific Journal of Research
Blue Ocean Research Journals,Asian Journal of Advanced Research and Reports (AJARR) (associated with ScienceDomain International)
BluePen Journals,Asian Journal of Applied Science and Engineering
Boffin Access,Asian Journal of Applied Science and Technology
Bonfring,Asian Journal of Biomedical and Pharmaceutical Sciences
"Book Publisher International (BookPI) (linked to ScienceDomain International, another predatory publisher)",Asian Journal of Business and Management Sciences (AJBMS)
Bosal Journals,Asian Journal of Chemistry
Bowen Publishing,Asian Journal of Emerging Research
Boya Century Publishing,Asian Journal of Health and Medical Sciences
Brainy Buzz,Asian Journal of Humanities and Social Sciences
Brazilian Journals Publicações,Asian Journal of Mathematics and Applications
Bret Research Journals,Asian Journal of Multidisciplinary Studies
British Association of Academic Research (BAAR),Asian Journal of Pharmaceutical and Health Sciences
"British Bio Medicine Institute (British BioMedicine Publishers, BBM Publishers)",Asian Journal of Pharmaceutical Research and Health Care (AJPRHC)
British Journal,Asian Journal of Pharmacy and Life Science
British Open Research Publications,Asian Journal of Science and Technology (Science and Technology Asian Journal)
BRNSS Publication Hub,Asian Pacific Journal of Health Sciences (APJHS)
Business Journalz (BJ),Asian Pacific Journal of Natural Products (APJNP)
Business Perspectives,Asian Pacific Journal of Pharmacy and Phytochemistry (APJPP)
BUSSECON International Publishing (BSCint),Asian Pacific Journal of Tropical Disease
Cafet Innova Technical Society (CITS),Asian Research Journal of Business Management (ARJBM)
Cairo Center for Development Benchmarking,Astronomical Review
Cambridge Scholars Publishing (CSP),Astronomy
Canadian Academy of Oriental and Occidental Culture (see CSCanada),Atmosphere
Canadian Center of Science and Education,Atmospheric and Climate Sciences
Canadian Research & Development Center of Sciences and Cultures (see CSCanada),Atoms
Canadian Research Publication,Audiology Research
Canadian Science and Research Group (CANSRG),Aurora’s International Journal of Computing​
Canadian Science and Technology Press Inc.,Australasian Journal of Herpetology
Cardiology Academic Press,Australasian Medical Journal (AMJ)
CARI Journals,Australian Journal of Basic and Applied Sciences
Cenetri Publishing Group,Australian Journal of Business and Management Research (AJBMR)
Center for Academic Research (CAR) (linked to RIPK),Australian Journal of Grape and Wine Research
Center for Contemporary Research (CCR) (linked to RIPK),Autism Research and Treatment
Center for Enhancing Knowledge (CEK UK),Autoimmune Diseases
Center for Global Research Development (CGRD),Automation
Center for Natural Science & Engineering Research (CNSER/CenNSER),Averroes European Medical Journal (Averroes-EMJ)
Center for Promoting Education and Research (CPER),Axioms
Center for Promoting Ideas,Ayupharm: International Journal of Ayurveda and Allied Sciences
Center for the Development and Dissemination of Knowledge,Ayushdhar
Center of Advanced Scientific Research and Publications (CASRP),Bacteria
Central Bohemia University Publishing,Batteries
Central Research Insight,Batteries and Electrochemistry
Centre For Info Bio Technology (CIBTech),Behavioral Sciences
"Centre for Multidisciplinary Research, Innovation and Collaboration (C-MRiC.ORG)",Behavioural Neurology
Centre for Promoting Knowledge (CPK UK),Beijing Law Review
Centre for Research on Islamic Banking & Finance and Business (CRIBFB),Beverages
Centre of Excellence for Scientific & Research Journalism (COES&RJ),Big Data and Cognitive Computing
Centre of Promoting Research Excellence (CPRE),Bio Bulletin
CESER Publications (another website here),BioChem
Chembio Publishers (new website here),Biochemistry Research International
Chitkara University Publications,Bioengineering
Cientific Group,Bioinformation
CIRWORLD (also here),Bioinorganic Chemistry and Applications
Clerisy Publishers,Biointerface Research in Applied Chemistry
ClinMed International Library,Biologics
Cloud Journals,Biology
Cloud Journals (also Cloud Publications),Biology and Life Sciences Forum *
Cloud Publications,Biomass
Clyto Access,Biomaterials and Tissue Engineering Bulletin
CME Publishing Group (inactive),Biomechanics
Coalesce Research Group,BioMed
Coltharp Institute,BioMed Research International
Columbia International Publishing,Biomedical & Pharmacology Journal
Comparative Journals,Biomedical Engineering Review
Comprehensive Research Journals,Biomedical Journal of Scientific & Technical Research (BJSTR) (and here)
Computer Science Journals,Biomedicines
CONFAB Journals,BioMedInformatics
Congress Press,Biomimetics
Consortia Academia,Biomolecules
"CONSORTIUM Intellectual Consortium of Drug Discovery and Technology Development, Inc. (ICDTD Inc.)",Bionano Frontier
Contemporary Research Center (CRC Publications),Biopharm Journal
Convergence Information Society,Biophysica
Copernicus Publishing,Bioresearch Bulletin
Cosmic Journals,Bioscience and Bioengineering Communications (BBC)
Cosmos Scholars Publishing House,Bioscience Biotechnology Research Communications (BBRC)
Council for Innovative Research,Bioscience Discovery
CRDEEP International Journals,Biosciences International
Cresco Online Publishing (also here),"Biosciences, Biotechnology Research Asia (BBRA)"
CREST Journals,Biosensors
Crimson Publishers​,BioTech
Crown Journals,Biotechnological Research
CSCanada,Birds
CTR Publications,Blockchains
Current Research Web,BOREAL ENVIRONMENT RESEARCH (hijacker of a legitimate journal)
Cyber Journals,Botany Journal
DAMA International,Brain Sciences
Darsgah-e-Ahlebait,Brazilian Applied Science Review
Darshan Publishers,Brazilian Journal of Animal and Environmental Research
David Publishing (also here),Brazilian Journal of Business
Deccan Pharma Journals,Brazilian Journal of Development
DeNovo Scientific Publishing,Brazilian Journal of Health Review
Dentamed Publishing,Brazilian Journal of Technology
Design for Scientific Renaissance,British Biomedical Bulletin
"DEStech Publications, Inc.",British Journal of Biomedical Research (BJBMR)
Developing Country Think Tank Institute,"British Journal of Economics, Finance and Management Sciences"
Dhan Med Publishers,British Journal of Interdisciplinary Studies
Didactic Journals,British Journal of Medical & Health Sciences (BJMHS)
Digital Information Research Foundation (DIRF),British Journal of Medical and Health Research (BJMHR)
Digital Science Press,British Journal of Pharmaceutical and Medical Research​ (BJPMR)
Direct Research Journals,British Journal of Science
DISA Publication Group (DP Group),Buildings
Discourse Journals,Buletin Teknologi Makanan
Discovery Publication,Bulletin of Applied and Research Science (BARS)
DJ Publications,"Bulletin of Environment, Pharmacology and Life Sciences (BEPLS)"
Donnish Journals,Bulletin of Mathematical Sciences & Applications
Dorma Journals,Bulletin of Pharmaceutical Research
Dr.BGR Publications,Bulletin of Society for Mathematical Services and Standards
DRUNPP Sarajevo (Society for Development of Teaching and Business Processes in New Net Environment in B&H),Business and Economics Journal
Dynamic Publishers,Businesses
e-Century Publishing Corporation,C
E-Cronicon,Calodema
E-International Journals of Academic & Scientific Research (EIJASR),Canadian Chemical Transactions
E-International Scientific Research Journal Consortium (E-ISRJC),Canadian International Journal of Science and Technology
e-journal (see also here),Canadian Journal of Basic and Applied Sciences
e-Science Central,Canadian Journal of Biomedical Research and Technology (CJBRT)
e3Journals,Canadian Journal of Biotechnology
Eagle Publishing Group,Canadian Journal of Gastroenterology and Hepatology
Earth Journals,Canadian Journal of Infectious Diseases and Medical Microbiology
East African Scholars Publisher (EAS Publisher),Canadian Journal of Pure and Applied Sciences
East West Association For Advanced Studies and Higher Education,Canadian Respiratory Journal
Ebioscholar,Canadian Scientific Journal
Ebu Press,Cancer Research Frontiers
eCanadian Journals,Cancers
Econjournals,Cardiogenetics
Edelweiss Publications,Cardiology and Cardiovascular Medicine
EDUGAIT Press,Cardiology Research and Practice
Edupedia Publications (see also International Scholarly Open Access Research),Cardiovascular Therapeutics
Eighth Sense Research Group,Caribbean Journal of Science and Technology
Einstein International Journal Organization (EIJO),Case Reports in Anesthesiology
EISRJC Journals (E-International Scientific Research Journal Consortium),Case Reports in Cardiology
"eJM (eJM Science, eJManager)",Case Reports in Clinical Medicine
eJournals of Academic Research & Reviews,Case Reports in Critical Care
Eko Journal,Case Reports in Dentistry
eLearning Institute,Case Reports in Dermatological Medicine
Electronic Center for International Scientific Information,Case Reports in Emergency Medicine
Elewa Bio Sciences,Case Reports in Endocrinology
Elite Hall Publishing House,Case Reports in Gastrointestinal Medicine
Elite Research Journals,Case Reports in Genetics
ELK Asia Pacific Journals,Case Reports in Hematology
ElmCore Journals,Case Reports in Hepatology
Elmer Press,Case Reports in Immunology
ELVEDIT.COM,Case Reports in Infectious Diseases
Elyns Publishing Group,Case Reports in Medicine
Emeraldtree Publishing,Case Reports in Nephrology
Emerging Academy Resources (EAR),Case Reports in Neurological Medicine
ENCYCLOPAEDIC PUBLISHING PTE.LTD (associated with PiscoMed Publishing and Frontier Scientific Publishing),Case Reports in Obstetrics and Gynecology
Engineering and Technology Publishing,Case Reports in Oncological Medicine
Engineering Information Institute (ENGII),Case Reports in Ophthalmological Medicine
Engineering Journals (Engg Journals Publications),Case Reports in Orthopedics
Engineering Publication House,Case Reports in Otolaryngology
Engineering Research Publication,Case Reports in Pathology
Enhanced Research Publications (ER Publications),Case Reports in Pediatrics
Enliven Archive,Case Reports in Psychiatry
EnPress Publisher,Case Reports in Pulmonology
Enriched Science Publication,Case Reports in Radiology
Enviro Publishers / Enviro Research Publishers,Case Reports in Rheumatology
EPH Journal (Engineers Publication House),Case Reports in Surgery
EPIX PUB (EPIXPUB),Case Reports in Transplantation
EPRA Journals,Case Reports in Urology
EPRA Wisdom,Case Reports in Vascular Medicine
ERM Publications (Educational Research Multimedia & Publications),Case Reports in Veterinary Medicine
Erudite Journals Limited,Case Study and Case Report
ESci Journals Publishing,Catalysts
eScience Publisher (eSciPub),CCAMLR Science (hijacker of a legitimate journal)
eScientific Research (eSciRes),Cell Medicine (published by Cognizant Communication Corporation)
ESRSA Publication (Engineering and Science Research Support Academy),CellBio
ETA Maths Journals,Cells
Ethan Publishing Company,Cellular and Molecular Biology also here
Eurasian Academy of Sciences (Avrasya Bilimler Akademisi),Cellular Microbiology
Eurasian Publications,Centrum
Eurasian Research Publishing,Ceramics
Eurasian Union of Scientists (Eurasian Scientific Union ESU | Евразийский Союз Учёных ЕСУ),Challenges
Euro Asia Research and Development Association,ChemEngineering
EuroJournals,Chemical Science Transactions
European Center for Science Education and Research (EUSER),Chemistry
European Journals of Business Management (EJoBM),Chemistry Proceedings *
European Journals of Education Studies,Chemistry Research Journal
European Open Access Publishing (EUROPA),Chemosensors
European Union Research Publishing,Children
European-American Journals (and here) (EAJournals),Chinese Medicine
Everant,Chinese Studies
EverScience Publications,Chips
"ExcelingTech Publishing Company, Ltd.",Circuits and Systems
Excellent Publishers,CivilEng
Excellent Word Journals,Clean Technologies
Excelytics Publishers,Climate
Expert Journals,Clinical and Translational Neuroscience
Far East Research Centre,Clinics and Practice
Ficus Publishers,Clinics in Oncology
Finlogy,Clinics in Surgery
"FM Publishers (FM Journals, Frontiers Meetings)",Clocks & Sleep
"Focus in Research & Education (FIRE, Firepubs)",Coasts
ForteOpen Journals,Coatings
Fortune Journals,Colloids and Interfaces
Foundation for Promotion of Basic & Applied Science (FOPRAS),Colorants
Friends Science Publishers (FSP),Columban Journal of Life Sciences
Frontier Scientific Publishing (associated with PiscoMed Publishing and ENCYCLOPAEDIC PUBLISHING),Commodities
Frontiers,Communications and Network
Frontiers in Bioscience (FBS),Communications on Applied Electronics (CAE)
FSSH Scholarly Journals,Complexity
Fundamental Journals,Complications
Fundamental Research and Development International (FRDI),Compounds
Future Academy,Computation
Galore Knowledge Publication Pvt. Ltd.,Computational and Mathematical Methods
Gatha Cognition,Computational and Mathematical Methods in Medicine
Gavin Publishers,Computational Chemistry
GBS Publishers & Distributors (India),Computational Intelligence and Neuroscience
Geist Science,Computational Molecular Bioscience
Genexcellence Publication (G Publications),Computational Research Progress in Applied Science & Engineering
German Science and Technology Press,"Computational Water, Energy, and Environmental Engineering"
Gexin Publications,Computer Science Chronicle
GIAP Journals,Computer Science Journal
GJ Publications (G J Publications),Computer Sciences & Mathematics Forum *
Global Academic Institute,Computers
Global Advanced Research Journals,"Concepts in Magnetic Resonance Part A, Bridging Education and Research"
Global Business Research Journals,"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering"
Global Institute for Research and Education,Condensed Matter
Global International Scientific Analytical Project (GISAP) (see International Academy of Science and Higher Education),Conservation
"Global Journals, Inc. (US) (new websites: https://globaljournals.org/ and https://journalofscience.org/)",Construction Materials
Global Open Journals,Contemporary Research in India
Global Openaccess,Contemporary Sociological Global Review (CSGR)
Global Press Hub (GPH),Contrast Media & Molecular Imaging
Global Publishing Corporation,Core Evidence (published by Dove Press)
Global Research Journals,Corrosion and Materials Degradation
Global Research Online,Cosmetics
Global Research Publishing (GRP),COVID
Global Researchers Journals,Creative Education
Global Scholars Journals,Critical Care Research and Practice
Global Science Center LP,Crops
Global Science Publishing Group,Cryptography
Global Science Research Journals,Crystal Structure Theory and Applications
Global Scientific Research Journals (GSR),Crystals
"Global Scientific, Inc.",Cumhuriyet Science Journal
Global Society of Scientific Research and Researchers (GSSRR),Current Biomarker Findings (published by Dove Press)
Global Technocrats & Intellectual’s Association (GTIA),Current Biotica
Global Vision Press,Current Botany
GlobalSkope Publishing Society,Current Discovery
Globeedu Group,Current Gerontology and Geriatrics Research
Gnosis Open Access Publishers (re-branded as Gratis Open Access Publishers),Current Issues in Molecular Biology
Gopalax,Current Journal of Applied Science and Technology (CJAST) (associated with ScienceDomain International)
GPH Journal (Global Publication House International Journals) (connected to EPH Journal),Current Neurobiology (Journal of Current Neurobiology)
GRABS Educational Charitable Trust,Current Oncology
Graphy Publications,Current Science
Gratis Open Access Publishers,Current Trends in Technology and Sciences (CTTS)
GRDS Publishing,Current Urban Studies
Green Earth Research Network,Dairy
Green Global Foundation (GGF),Danish Scientific Journal (DSJ)
Green Publication,Data
Greener Journals,DAV International Journal of Science (DAVIJS)
Greenfield Advanced Research Publishing House,Degenerative Neurological and Neuromuscular Disease (published by Dove Press)
Growing Science Publishing Company,Dentistry Journal
GS Publishers,Depression and Anxiety
GSB Life Sciences,Depression Research and Treatment
Gupta Publications,Der Pharma Chemica
Gurpukur Research Institute (GPRI) (g-Science),Dermato
Gyancity Research Lab Private Limited,Dermatologic Therapy
Halmac Research,Dermatology Research and Practice
"Hans Publishers, Inc. (HansPub, 汉斯)",Dermatopathology
Har Krishan Bhalla & Sons (HKB Publications),Designs
Healthcare Bulletin,Detection
Heighten Science Publications (HSP),Diabetology
Helics Scientific Network (Helics Group),Diagnostics
Hendun Research Access,Dietetics
Henry Publishing Group,Digital
Herald International Research Journals,Direct Research Journals
Herald Scholarly Open Access,Disabilities
Herbert Open Access Journals (Herbert Publications),Discrete Dynamics in Nature and Society
Hikari Ltd.,Disease Markers
Hilaris,Diseases
Hilaris Publisher (Hilaris SRL) (connected to OMICS),Disseminate Knowledge
Hind Agri-Horticultural Society (HAHS; HIND Institutes; Research Journals),Diversity
Hindawi,Diyala Journal for Pure Science (DJPS)
Horizon Journals,DNA
Horizon Research Publishing,Drones
Human and Sciences Publications (HumanPub),Drugs and Drug Candidates
Human Resource Management Academic Research Society (HRMARS),Dynamics
i-Explore International Research Journals Consortium (IIRJC),Dystonia
i-manager Publications,E-Health Telecommunication Systems and Networks
i-Proclaim (related to ABC Journals),E-Library Science Research Journal
IAMURE Multidisciplinary Research,Earth
ibai-publishing,East European Science Journal (Czasopismo Naukowe)
IBIMA Publishing,Eastern Academic Journal
ICGST,Eastern European Scientific Journal
iConcept Press Ltd.,Ecoforum
ICTACT Journal,Ecoletra.com Scientific eJournal
Id Press / ID Design,Ecologies
IERI & PRESS,Econometrics
IGM Publication,Economies
IIARD Publication Company (International Institute of Academic Research and Development - IIARD),Education Reform Journal (new website here)
iJARS Group,Education Research International
Ijbsse.org,Education Sciences
ijManager – Online Journal Management,EDUVED Global Management Research (GMR)
IJRCM,"Eduved, International Journal of Interdisciplinary Research"
IMED Research Publications,Electricity
iMed.pub,Electrochem
iMedPharm,Electronic Journal of Biology (eJBio)
"Impact Journals (New York State, USA)",Electronic Journal of Engineering and Technology (EJET)
"Impact Journals (Tamil Nadu, India)",Electronic Journal of Vocational Colleges
Imperial Journals,Electronic Materials
Imprints Open Access,Electronics
Incessant Nature Science Publishers (INSPublishers),Elixir International Journal (formerly Elixir Online Journal)
Indian Academicians and Researchers Association (IARA),Emergency Medicine International
Indian Society for Education and Environment (ISEE),Encyclopedia
IndianResearchJournals.Com,Endocrines
"Indus Foundation for Education, Research & Social Welfare",Energies
Infinity Press,Energy and Power Engineering
infofacility,Eng
Infogain Publication,Engineering
Infonomics Society,Engineering & IT Journal (EIT Journal)
Inforesights Publishing,Engineering Physics and Thermodynamics Journal
Informatics Journals,Engineering Proceedings *
Information Engineering Research Institute (IERI),Engineering Research Journal
Informing Science Institute (ISI),Entomology and Applied Science Letters (EASL)
Ingenious Enterprises International (INGENIN),Entropy
Innovare Academic Sciences,Environmental Sciences Proceedings *
Innovation Info (Innovationinfo),Environments
Innovational Publishers,Epidemiologia
Innovative Journals,Epigenomes
Innovative Publication,ESSENCE: International Journal for Environmental Rehabilitation and Conservation
Innovative Space of Scientific Research (ISSR Journals),Estudos de Psicologia (Campinas)
Innovinc,Euro-Afro Journal of Arts and Social Sciences (EAJASS)
"Innovision Health Media, Inc.",European Academic Research
INPRESSCO (International Press Corporation),European Burn Journal
INREWI,European Chemical Bulletin (ECB)
Insight Core,European Environmental Sciences and Ecology Journal
Insight Knowledge (also here),European International Journal of Science and Humanities (EIJSH)
Insight Medical Publishing (IMedPub),"European International Journal of Science and Technology (Center for Enhancing Knowledge, UK)"
Instaci,European Journal of Academic Essays (EJAE)
"Institute for Environment, Engineering, Economics (inactive)",European Journal of Advanced Computer Science (EJACS)
Institute for Promoting Research & Policy Development (IPRPD),European Journal of Advances in Engineering & Technology (EJAET)
